nohup: ignoring input
J = 0.0
After sweep 7 energy=-34.422226587635805  maxlinkdim=200 maxerr=4.46E-04 time=7.119
After sweep 8 energy=-34.46338397936986  maxlinkdim=250 maxerr=3.01E-04 time=7.828
After sweep 9 energy=-34.47830386930955  maxlinkdim=300 maxerr=2.00E-04 time=8.652
After sweep 10 energy=-34.48507584939582  maxlinkdim=350 maxerr=1.59E-04 time=8.837
After sweep 11 energy=-34.48907341680571  maxlinkdim=400 maxerr=1.32E-04 time=9.626
After sweep 12 energy=-34.49300946688336  maxlinkdim=500 maxerr=8.26E-05 time=11.403
After sweep 13 energy=-34.494785760983284  maxlinkdim=600 maxerr=5.27E-05 time=13.203
After sweep 14 energy=-34.49569420752335  maxlinkdim=700 maxerr=3.53E-05 time=18.275
After sweep 15 energy=-34.49623248632668  maxlinkdim=800 maxerr=2.50E-05 time=36.366
After sweep 16 energy=-34.49656775202024  maxlinkdim=900 maxerr=1.87E-05 time=43.682
After sweep 17 energy=-34.49678500867521  maxlinkdim=1000 maxerr=1.43E-05 time=29.360
After sweep 18 energy=-34.49693029402799  maxlinkdim=1100 maxerr=1.12E-05 time=33.449
After sweep 19 energy=-34.497028272225144  maxlinkdim=1200 maxerr=8.80E-06 time=36.117
After sweep 20 energy=-34.497097688071314  maxlinkdim=1300 maxerr=6.95E-06 time=46.319
After sweep 21 energy=-34.49714857018108  maxlinkdim=1400 maxerr=5.50E-06 time=52.442
After sweep 22 energy=-34.49718597970278  maxlinkdim=1500 maxerr=4.40E-06 time=58.172
After sweep 23 energy=-34.497213863616544  maxlinkdim=1600 maxerr=3.54E-06 time=66.123
After sweep 24 energy=-34.49723512055274  maxlinkdim=1700 maxerr=2.86E-06 time=72.622
After sweep 25 energy=-34.497251096272  maxlinkdim=1800 maxerr=2.35E-06 time=80.978
After sweep 26 energy=-34.49726359089029  maxlinkdim=1900 maxerr=1.94E-06 time=87.452
After sweep 27 energy=-34.49727348103899  maxlinkdim=2000 maxerr=1.61E-06 time=96.439
